"id","name","family","base","material","spell","skill","difficulty","station","materials","existing icon"
"weapon.dagger.copper","Copper Dagger","weapon","dagger","copper","","blacksmithing","5","forge","copper x2","icons/items/dagger.webp"
"weapon.dagger.bronze","Bronze Dagger","weapon","dagger","bronze","","blacksmithing","12","forge","copper x2; tin x1","icons/items/dagger.webp"
"weapon.dagger.iron","Iron Dagger","weapon","dagger","iron","","blacksmithing","19","forge","iron x2","icons/items/dagger.webp"
"weapon.dagger.silver","Silver Dagger","weapon","dagger","silver","","blacksmithing","26","forge","silver x2","icons/items/dagger.webp"
"weapon.dagger.coldiron","Coldiron Dagger","weapon","dagger","coldiron","","blacksmithing","33","forge","coldiron x2","icons/items/dagger.webp"
"weapon.dagger.emberite","Emberite Dagger","weapon","dagger","emberite","","blacksmithing","40","forge","emberite x2","icons/items/dagger.webp"
"weapon.dagger.rimesteel","Rimesteel Dagger","weapon","dagger","rimesteel","","blacksmithing","47","forge","rimesteel x2","icons/items/dagger.webp"
"weapon.dagger.verdite","Verdite Dagger","weapon","dagger","verdite","","blacksmithing","54","forge","verdite x2","icons/items/dagger.webp"
"weapon.dagger.voidrock","Voidrock Dagger","weapon","dagger","voidrock","","blacksmithing","61","forge","voidrock x2","icons/items/dagger.webp"
"weapon.dagger.starfall","Starfall Dagger","weapon","dagger","starfall","","blacksmithing","68","forge","starfall x2","icons/items/dagger.webp"
"weapon.throwingKnives.copper","Copper Throwing knives","weapon","throwingKnives","copper","","blacksmithing","6","forge","copper x2",""
"weapon.throwingKnives.bronze","Bronze Throwing knives","weapon","throwingKnives","bronze","","blacksmithing","13","forge","copper x2; tin x1",""
"weapon.throwingKnives.iron","Iron Throwing knives","weapon","throwingKnives","iron","","blacksmithing","20","forge","iron x2",""
"weapon.throwingKnives.silver","Silver Throwing knives","weapon","throwingKnives","silver","","blacksmithing","27","forge","silver x2",""
"weapon.throwingKnives.coldiron","Coldiron Throwing knives","weapon","throwingKnives","coldiron","","blacksmithing","34","forge","coldiron x2",""
"weapon.throwingKnives.emberite","Emberite Throwing knives","weapon","throwingKnives","emberite","","blacksmithing","41","forge","emberite x2",""
"weapon.throwingKnives.rimesteel","Rimesteel Throwing knives","weapon","throwingKnives","rimesteel","","blacksmithing","48","forge","rimesteel x2",""
"weapon.throwingKnives.verdite","Verdite Throwing knives","weapon","throwingKnives","verdite","","blacksmithing","55","forge","verdite x2",""
"weapon.throwingKnives.voidrock","Voidrock Throwing knives","weapon","throwingKnives","voidrock","","blacksmithing","62","forge","voidrock x2",""
"weapon.throwingKnives.starfall","Starfall Throwing knives","weapon","throwingKnives","starfall","","blacksmithing","69","forge","starfall x2",""
"weapon.rapier.copper","Copper Rapier","weapon","rapier","copper","","blacksmithing","10","forge","copper x3","icons/items/rapier.webp"
"weapon.rapier.bronze","Bronze Rapier","weapon","rapier","bronze","","blacksmithing","17","forge","copper x3; tin x2","icons/items/rapier.webp"
"weapon.rapier.iron","Iron Rapier","weapon","rapier","iron","","blacksmithing","24","forge","iron x3","icons/items/rapier.webp"
"weapon.rapier.silver","Silver Rapier","weapon","rapier","silver","","blacksmithing","31","forge","silver x3","icons/items/rapier.webp"
"weapon.rapier.coldiron","Coldiron Rapier","weapon","rapier","coldiron","","blacksmithing","38","forge","coldiron x3","icons/items/rapier.webp"
"weapon.rapier.emberite","Emberite Rapier","weapon","rapier","emberite","","blacksmithing","45","forge","emberite x3","icons/items/rapier.webp"
"weapon.rapier.rimesteel","Rimesteel Rapier","weapon","rapier","rimesteel","","blacksmithing","52","forge","rimesteel x3","icons/items/rapier.webp"
"weapon.rapier.verdite","Verdite Rapier","weapon","rapier","verdite","","blacksmithing","59","forge","verdite x3","icons/items/rapier.webp"
"weapon.rapier.voidrock","Voidrock Rapier","weapon","rapier","voidrock","","blacksmithing","66","forge","voidrock x3","icons/items/rapier.webp"
"weapon.rapier.starfall","Starfall Rapier","weapon","rapier","starfall","","blacksmithing","73","forge","starfall x3","icons/items/rapier.webp"
"weapon.shortsword.copper","Copper Shortsword","weapon","shortsword","copper","","blacksmithing","10","forge","copper x3","icons/items/shortsword.webp"
"weapon.shortsword.bronze","Bronze Shortsword","weapon","shortsword","bronze","","blacksmithing","17","forge","copper x3; tin x2","icons/items/shortsword.webp"
"weapon.shortsword.iron","Iron Shortsword","weapon","shortsword","iron","","blacksmithing","24","forge","iron x3","icons/items/shortsword.webp"
"weapon.shortsword.silver","Silver Shortsword","weapon","shortsword","silver","","blacksmithing","31","forge","silver x3","icons/items/shortsword.webp"
"weapon.shortsword.coldiron","Coldiron Shortsword","weapon","shortsword","coldiron","","blacksmithing","38","forge","coldiron x3","icons/items/shortsword.webp"
"weapon.shortsword.emberite","Emberite Shortsword","weapon","shortsword","emberite","","blacksmithing","45","forge","emberite x3","icons/items/shortsword.webp"
